Alkene,39,30
Alkyne,5,8
Alcohol,44,27
Dialkylether,35,32
Amine,66,41
Aldehyde,3,1
Ketone,21,25
Enol,4,5
Carboxylic_acid,33,38
Lactone,11,10
Carboxylic_acid_derivative,215,227
Amide,38,60
Lactam,12,18
Amidine,3,4
Nitrile,35,39
Vinylogous_carbonyl_or_carboxyl_derivative,70,97
Vinylogous_ester,113,120
Carbonic_acid_derivatives,109,131
Phenol,27,9
Arylchloride,142,163
Arylfluoride,22,41
Heteroaromatic,147,205
Nitro,42,31
Sulfonic_derivative,24,29
Sulfenic_derivative,48,34
Phosphoric_acid_derivative,70,44
Aromatic,402,396
Heterocyclic,228,272
Epoxide,11,2
Annelated_rings,97,73
Conjugated_double_bond,207,213
Trifluoromethyl,44,63
C_ONS_bond,520,484
