Alkene, 39, Mazzatorta
Alkene, 30, Swiss Federal Office
Alkyne, 5, Mazzatorta
Alkyne, 8, Swiss Federal Office
Alcohol, 44, Mazzatorta
Alcohol, 27, Swiss Federal Office
Dialkylether, 35, Mazzatorta
Dialkylether, 32, Swiss Federal Office
Amine, 66, Mazzatorta
Amine, 41, Swiss Federal Office
Aldehyde, 3, Mazzatorta
Aldehyde, 1, Swiss Federal Office
Ketone, 21, Mazzatorta
Ketone, 25, Swiss Federal Office
Enol, 4, Mazzatorta
Enol, 5, Swiss Federal Office
Carboxylic_acid, 33, Mazzatorta
Carboxylic_acid, 38, Swiss Federal Office
Lactone, 11, Mazzatorta
Lactone, 10, Swiss Federal Office
Carboxylic_acid_derivative, 215, Mazzatorta
Carboxylic_acid_derivative, 227, Swiss Federal Office
Amide, 38, Mazzatorta
Amide, 60, Swiss Federal Office
Lactam, 12, Mazzatorta
Lactam, 18, Swiss Federal Office
Amidine, 3, Mazzatorta
Amidine, 4, Swiss Federal Office
Nitrile, 35, Mazzatorta
Nitrile, 39, Swiss Federal Office
Vinylogous_carbonyl_or_carboxyl_derivative, 70, Mazzatorta
Vinylogous_carbonyl_or_carboxyl_derivative, 97, Swiss Federal Office
Vinylogous_ester, 113, Mazzatorta
Vinylogous_ester, 120, Swiss Federal Office
Carbonic_acid_derivatives, 109, Mazzatorta
Carbonic_acid_derivatives, 131, Swiss Federal Office
Phenol, 27, Mazzatorta
Phenol, 9, Swiss Federal Office
Arylchloride, 142, Mazzatorta
Arylchloride, 163, Swiss Federal Office
Arylfluoride, 22, Mazzatorta
Arylfluoride, 41, Swiss Federal Office
Heteroaromatic, 147, Mazzatorta
Heteroaromatic, 205, Swiss Federal Office
Nitro, 42, Mazzatorta
Nitro, 31, Swiss Federal Office
Sulfonic_derivative, 24, Mazzatorta
Sulfonic_derivative, 29, Swiss Federal Office
Sulfenic_derivative, 48, Mazzatorta
Sulfenic_derivative, 34, Swiss Federal Office
Phosphoric_acid_derivative, 70, Mazzatorta
Phosphoric_acid_derivative, 44, Swiss Federal Office
Aromatic, 402, Mazzatorta
Aromatic, 396, Swiss Federal Office
Heterocyclic, 228, Mazzatorta
Heterocyclic, 272, Swiss Federal Office
Epoxide, 11, Mazzatorta
Epoxide, 2, Swiss Federal Office
Annelated_rings, 97, Mazzatorta
Annelated_rings, 73, Swiss Federal Office
Conjugated_double_bond, 207, Mazzatorta
Conjugated_double_bond, 213, Swiss Federal Office
Trifluoromethyl, 44, Mazzatorta
Trifluoromethyl, 63, Swiss Federal Office
C_ONS_bond, 520, Mazzatorta
C_ONS_bond, 484, Swiss Federal Office
Salt, 26, Mazzatorta
Salt, 45, Swiss Federal Office
