Primary_carbon, 303, 287
Secondary_carbon, 147, 149
Tertiary_carbon, 91, 73
Quaternary_carbon, 58, 60
Alkene, 39, 30
Alkyne, 5, 8
Alkylchloride, 71, 41
Alkylfluoride, 52, 74
Alkylbromide, 5, 3
Alcohol, 44, 27
Primary_alcohol, 12, 2
Secondary_alcohol, 23, 10
Tertiary_alcohol, 18, 21
Dialkylether, 35, 32
Dialkylthioether, 14, 6
Alkylarylether, 62, 90
Diarylether, 35, 47
Alkylarylthioether, 11, 10
Amine, 66, 41
Primary_aliph_amine, 8, 3
Secondary_aliph_amine, 2, 2
Tertiary_aliph_amine, 16, 9
Quaternary_aliph_ammonium, 1, 6
Primary_arom_amine, 26, 15
Secondary_arom_amine, 2, 1
Secondary_mixed_amine, 8, 3
Tertiary_mixed_amine, 14, 7
Ammonium, 1, 6
Dialkylthioether, 10, 4
Alkylarylthioether, 10, 10
Disulfide, 4, 2
1,2-Diol, 12, 3
Organometallic_compounds, 1, 5
Aldehyde, 3, 1
Ketone, 21, 25
Oximether, 7, 15
Acetal, 13, 13
Halogen_acetal_like, 13, 14
Acetal_like, 34, 30
NOS_methylen_ester_and_similar, 18, 19
Hetero_methylen_ester_and_similar, 19, 19
Chloroalkene, 39, 21
Bromoalkene, 1, 2
Enol, 4, 5
Enolether, 2, 4
Thioenolether, 1, 1
Carboxylic_acid, 33, 38
Lactone, 11, 10
Carboxylic_acid_derivative, 215, 227
Carbothioic_S_ester, 1, 1
Amide, 38, 60
Primary_amide, 2, 1
Secondary_amide, 22, 36
Tertiary_amide, 15, 23
Lactam, 12, 18
Alkyl_imide, 5, 4
N_hetero_imide, 6, 3
Amidine, 3, 4
Hydroxamic_acid_ester, 1, 1
Imidolactone, 13, 32
Imidothiolactone, 1, 1
Amidine, 3, 5
Imidolactam, 3, 2
Imidoylhalide_cyclic, 10, 19
Alpha_aminoacid, 1, 1
Nitrile, 35, 39
Vinylogous_carbonyl_or_carboxyl_derivative, 70, 97
Vinylogous_acid, 9, 8
Vinylogous_ester, 113, 120
Vinylogous_amide, 19, 24
Vinylogous_halide, 11, 27
Carbonic_acid_derivatives, 109, 131
Urea, 23, 21
Thiourea, 4, 4
Isothiourea, 1, 3
Guanidine, 6, 7
Urethan, 34, 35
Biuret, 1, 4
Semicarbazone, 1, 3
Phenol, 27, 9
Arylchloride, 142, 163
Arylfluoride, 22, 41
Arylbromide, 4, 8
Aryliodide, 1, 4
Oxoarene, 32, 29
Thioarene, 1, 2
Hetero_N_basic_H, 17, 11
Hetero_N_basic_no_H, 59, 90
Hetero_N_nonbasic, 127, 191
Hetero_O, 10, 12
Hetero_S, 17, 18
Heteroaromatic, 147, 205
Nitro, 42, 31
Sulfon, 3, 14
Sulfoxide, 2, 3
Sulfuric_derivative, 5, 8
Sulfonamide, 6, 9
Sulfonic_derivative, 24, 29
Sulfenic_derivative, 48, 34
Phosphonic_acid, 5, 5
Phosphonic_monoester, 1, 1
Phosphonic_diester, 2, 1
Phosphonic_acid_derivative, 10, 7
Phosphoric_triester, 10, 3
Phosphoric_diestermonoamide, 3, 2
Phosphoric_acid_derivative, 70, 44
Phosphinic_acid, 1, 1
Phosphinic_acid_derivative, 1, 1
Quart_silane, 1, 2
Aromatic, 402, 396
Heterocyclic, 228, 272
Epoxide, 11, 2
Spiro, 3, 10
Annelated_rings, 97, 73
Bridged_rings, 8, 4
Sugar_pattern_1, 10, 9
Sugar_pattern_2, 6, 7
Sugar_pattern_combi, 4, 5
Sugar_pattern_2_alpha, 1, 1
Sugar_pattern_2_beta, 1, 1
Conjugated_double_bond, 207, 213
Conjugated_tripple_bond, 10, 19
Cis_double_bond, 31, 19
Trans_double_bond, 31, 19
Halogen_multi_subst, 1, 6
Trifluoromethyl, 44, 63
C_ONS_bond, 520, 484
Charged, 27, 51
Anion, 26, 45
Kation, 25, 51
Salt, 26, 45
1,3-Tautomerizable, 265, 296
1,5-Tautomerizable, 124, 148
Rotatable_bond, 488, 462
Michael_acceptor, 33, 33
CH-acidic, 60, 73
CH-acidic_strong, 1, 4
Chiral_center_specified, 1, 2
